date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:36	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
21:21:36	44717/44717	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Nov%202021%2021:21:36%20GMT	https://preview.colorlib.com/theme/travelix/	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/index.html	(from )
21:21:37	32910/32910	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/travelix/styles/A.main_styles.css+responsive.css,Mcc.5fwLlPXJ4r.css.pagespeed.cf.lgV_I7NRnj.css	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/styles/A.main_styles.css+responsive.css,Mcc.5fwLlPXJ4r.css.pagespeed.cf.lgV_I7NRnj.css	(from https://preview.colorlib.com/theme/travelix/)
21:21:37	1932/1932	---M--	200	added ('OK')	image/png	etag:W/%220%22	https://preview.colorlib.com/theme/travelix/images/xlogo.png.pagespeed.ic.WwqX_K06Sn.png	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/images/xlogo.png.pagespeed.ic.WwqX_K06Sn.png	(from https://preview.colorlib.com/theme/travelix/)
21:21:37	233739/233739	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://preview.colorlib.com/theme/travelix/A.styles,,_bootstrap4,,_bootstrap.min.css+plugins,,_font-awesome-4.7.0,,_css,,_font-awesome.min.css+plugins,,_OwlCarousel2-2.2.1,,_owl.carousel.css+plugins,,_OwlCarousel2-2.2.1,,_owl.theme.default.css+plugins,,_OwlCarousel2-2.2.1,,_animate.css,Mcc.TLBxxWJwFh.css.pagespeed.cf.Kr7O9c2xYQ.css	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/A.styles,,_bootstrap4,,_bootstrap.min.css+plugins,,_font-awesome-4.7.0,,_css,,_font-awesome.min.css+plugins,,_OwlCarousel2-2.2.1,,_owl.carousel.css+plugins,,_OwlCarousel2-2.2	(from https://preview.colorlib.com/theme/travelix/)
21:21:37	18305/18305	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Nov%202021%2021:21:37%20GMT	https://preview.colorlib.com/theme/travelix/about.html	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/about.html	(from https://preview.colorlib.com/theme/travelix/)
21:21:37	30381/30381	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Nov%202021%2021:21:37%20GMT	https://preview.colorlib.com/theme/travelix/offers.html	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/offers.html	(from https://preview.colorlib.com/theme/travelix/)
21:21:38	20499/20499	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Nov%202021%2021:21:38%20GMT	https://preview.colorlib.com/theme/travelix/blog.html	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/blog.html	(from https://preview.colorlib.com/theme/travelix/)
21:21:38	14213/14213	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Nov%202021%2021:21:38%20GMT	https://preview.colorlib.com/theme/travelix/contact.html	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/contact.html	(from https://preview.colorlib.com/theme/travelix/)
21:21:38	565/565	---M--	200	added ('OK')	image/png	etag:%22235-567abe97e7280%22	https://preview.colorlib.com/theme/travelix/images/suitcase.png	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/images/suitcase.png	(from https://preview.colorlib.com/theme/travelix/)
21:21:39	861/861	---M--	200	added ('OK')	image/png	etag:%2235d-567abd90b0580%22	https://preview.colorlib.com/theme/travelix/images/departure.png	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/images/departure.png	(from https://preview.colorlib.com/theme/travelix/)
21:21:39	684210/684210	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://preview.colorlib.com/theme/travelix/images/xhome_slider.jpg.pagespeed.ic.uL-pwFE9PB.jpg	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/images/xhome_slider.jpg.pagespeed.ic.uL-pwFE9PB.jpg	(from https://preview.colorlib.com/theme/travelix/)
21:21:39	782/782	---M--	200	added ('OK')	image/png	etag:%2230e-567abd7f85d00%22	https://preview.colorlib.com/theme/travelix/images/bus.png	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/images/bus.png	(from https://preview.colorlib.com/theme/travelix/)
21:21:39	1088/1088	---M--	200	added ('OK')	image/png	etag:%22440-567abdf8a3ac0%22	https://preview.colorlib.com/theme/travelix/images/island.png	C:/My%20Web%20Sites/nourhene2/preview.colorlib.com/theme/travelix/images/island.png	(from https://preview.colorlib.com/theme/travelix/)
